# sbprofile_multiband.py arguments:
#  bin = 1
#  exposuremap = /home/jsanders/data2/chandra/spt/SPT-CLJ0000-5748/expmap_total_masked_6000_7000.fits.gz
#  inimage = /home/jsanders/data2/chandra/spt/SPT-CLJ0000-5748/total_img_6000_7000.fits.gz
#  mask = None
#  outprofile = /home/jsanders/chandra/spt/sb-ccen/SPT-CLJ0000-5748/total_fg_prof_6000_7000.dat
#  oversample = 1
#  rmax = 2080
#  xc = 666.0
#  yc = 688.0
# rcentre(amin) rhalfwidth(amin) counts area(amin2) exposure sb
0.0041 0.0041 0.0 6.724e-05 29731.8733875 0.0
0.0123 0.0041 0.0 0.00053792 29750.7867929 0.0
0.0205 0.0041 0.0 0.00107584 29749.2106758 0.0
0.0287 0.0041 0.0 0.0013448 29743.2214307 0.0
0.0369 0.0041 0.0 0.00161376 29714.0107267 0.0
0.0451 0.0041 0.0 0.0026896 29674.5027242 0.0
0.0533 0.0041 0.0 0.00242064 29663.9252271 0.0
0.0615 0.0041 0.0 0.00322752 29657.2705104 0.0
0.0697 0.0041 0.0 0.00376544 29671.9809368 0.0
0.0779 0.0041 0.0 0.00376544 29691.3446615 0.0
0.0861 0.0041 0.0 0.00457232 29700.351045 0.0
0.0943 0.0041 0.0 0.00430336 29718.8704212 0.0
0.1025 0.0041 0.0 0.0053792 29723.0471316 0.0
0.1107 0.0041 0.0 0.00618608 29727.7617776 0.0
0.1189 0.0041 0.0 0.00591712 29731.8733875 0.0
0.1271 0.0041 1.0 0.00645504 29730.8226427 0.00521067679746
0.1353 0.0041 0.0 0.00645504 29730.8226427 0.0
0.1435 0.0041 0.0 0.00779984 29732.9603648 0.0
0.1517 0.0041 0.0 0.0080688 29732.0835364 0.0
0.1599 0.0041 0.0 0.0080688 29737.5474091 0.0
0.1681 0.0041 1.0 0.00833776 29735.3306766 0.00403346077255
0.1763 0.0041 0.0 0.00968256 29735.2007458 0.0
0.1845 0.0041 0.0 0.00914464 29729.8337065 0.0
0.1927 0.0041 0.0 0.0094136 29650.4556801 0.0
0.2009 0.0041 1.0 0.01022048 29499.1057746 0.00331680436397
0.2091 0.0041 0.0 0.01129632 29291.9115509 0.0
0.2173 0.0041 0.0 0.01183424 29183.0980623 0.0
0.2255 0.0041 1.0 0.01102736 29128.7202742 0.00311320014642
0.2337 0.0041 0.0 0.01129632 29077.4845691 0.0
0.2419 0.0041 1.0 0.01291008 29082.4474617 0.00266342280714
0.2501 0.0041 0.0 0.01264112 29029.9311833 0.0
0.2583 0.0041 0.0 0.01398592 29043.9588836 0.0
0.2665 0.0041 0.0 0.013448 29043.740652 0.0
0.2747 0.0041 0.0 0.01398592 29000.1307037 0.0
0.2829 0.0041 0.0 0.01533072 28977.8257749 0.0
0.2911 0.0041 0.0 0.01398592 28968.3052618 0.0
0.2993 0.0041 0.0 0.01559968 28937.945149 0.0
0.3075 0.0041 0.0 0.01533072 28975.4477737 0.0
0.3157 0.0041 1.0 0.01721344 28964.5998711 0.00200569455995
0.3239 0.0041 0.0 0.01667552 29006.2494015 0.0
0.3321 0.0041 0.0 0.01586864 29023.5289535 0.0
0.3403 0.0041 0.0 0.01828928 28971.7677272 0.0
0.3485 0.0041 0.0 0.01775136 29022.7162049 0.0
0.3567 0.0041 0.0 0.01936512 28931.862605 0.0
0.3649 0.0041 0.0 0.01855824 28846.8722024 0.0
0.3731 0.0041 0.0 0.01828928 28756.5813837 0.0
0.3813 0.0041 0.0 0.01990304 28726.1402726 0.0
0.3895 0.0041 1.0 0.01963408 28692.0247186 0.0017751221676
0.3977 0.0041 0.0 0.02097888 28648.3130728 0.0
0.4059 0.0041 0.0 0.02044096 28603.3320514 0.0
0.4141 0.0041 1.0 0.02259264 28562.4320096 0.00154966503514
0.4223 0.0041 0.0 0.02178576 28482.3432998 0.0
0.4305 0.0041 0.0 0.02097888 28363.6824859 0.0
0.4387 0.0041 0.0 0.02313056 28230.2736169 0.0
0.4469 0.0041 1.0 0.02178576 27997.8721381 0.00163946541365
0.4551 0.0041 0.0 0.02528224 27861.2571046 0.0
0.4633 0.0041 0.0 0.02313056 27612.3990513 0.0
0.4715 0.0041 2.0 0.0242064 27483.6298751 0.00300625418923
0.4797 0.0041 0.0 0.02447536 27572.7314902 0.0
0.4879 0.0041 0.0 0.02474432 27594.8641507 0.0
0.4961 0.0041 0.0 0.02635808 27663.4609074 0.0
0.5043 0.0041 0.0 0.02608912 27704.0443481 0.0
0.5125 0.0041 0.0 0.02635808 27759.6683831 0.0
0.5207 0.0041 0.0 0.02676152 27712.130777 0.0
0.5289 0.0041 0.0 0.02561844 27587.5267436 0.0
0.5371 0.0041 0.0 0.02844252 27522.2689639 0.0
0.5453 0.0041 0.0 0.0262236 27411.3763555 0.0
0.5535 0.0041 0.0 0.0279046 27416.3560481 0.0
0.5617 0.0041 0.0 0.02965284 27398.7053966 0.0
0.5699 0.0041 1.0 0.02750116 27436.5844275 0.0013253144771
0.5781 0.0041 0.0 0.02985456 27415.4923914 0.0
