# sbprofile_multiband.py arguments:
#  bin = 1
#  exposuremap = /home/jsanders/data2/chandra/spt/SPT-CLJ0000-5748/expmap_total_masked_1500_2000.fits.gz
#  inimage = /home/jsanders/data2/chandra/spt/SPT-CLJ0000-5748/total_img_1500_2000.fits.gz
#  mask = None
#  outprofile = /home/jsanders/chandra/spt/sb-ccen/SPT-CLJ0000-5748/total_fg_prof_1500_2000.dat
#  oversample = 1
#  rmax = 2080
#  xc = 666.0
#  yc = 688.0
# rcentre(amin) rhalfwidth(amin) counts area(amin2) exposure sb
0.0041 0.0041 1.0 6.724e-05 29726.440415 0.500298714979
0.0123 0.0041 1.0 0.00053792 29752.6506514 0.0624822478624
0.0205 0.0041 4.0 0.00107584 29748.6183073 0.124981434321
0.0287 0.0041 4.0 0.0013448 29744.1827289 0.100000057666
0.0369 0.0041 11.0 0.00161376 29710.9830961 0.229422874274
0.0451 0.0041 5.0 0.0026896 29676.4393487 0.0626427069206
0.0533 0.0041 9.0 0.00242064 29666.4032923 0.125327797525
0.0615 0.0041 4.0 0.00322752 29656.2104226 0.041790290939
0.0697 0.0041 10.0 0.00376544 29672.8678439 0.0895003525175
0.0779 0.0041 5.0 0.00376544 29692.4535151 0.0447206582455
0.0861 0.0041 7.0 0.00457232 29702.4835473 0.0515428772824
0.0943 0.0041 4.0 0.00430336 29722.1560494 0.0312731769773
0.1025 0.0041 9.0 0.0053792 29725.6339462 0.0562851324327
0.1107 0.0041 8.0 0.00618608 29730.2974398 0.0434985921148
0.1189 0.0041 8.0 0.00591712 29736.5212752 0.0454662827905
0.1271 0.0041 6.0 0.00645504 29736.3532608 0.0312582460307
0.1353 0.0041 7.0 0.00645504 29736.0172321 0.0364683658047
0.1435 0.0041 5.0 0.00779984 29736.1736593 0.0215575412588
0.1517 0.0041 2.0 0.0080688 29738.8062701 0.00833484471738
0.1599 0.0041 2.0 0.0080688 29743.5106715 0.00833352643133
0.1681 0.0041 6.0 0.00833776 29743.2201693 0.0241943452982
0.1763 0.0041 5.0 0.00968256 29739.5455332 0.0173638281886
0.1845 0.0041 5.0 0.00914464 29735.3352916 0.018387833021
0.1927 0.0041 5.0 0.0094136 29657.4297267 0.0179093883503
0.2009 0.0041 5.0 0.01022048 29503.4942342 0.0165815550507
0.2091 0.0041 3.0 0.01129632 29296.5157316 0.00906501017584
0.2173 0.0041 4.0 0.01183424 29186.9311085 0.0115806033227
0.2255 0.0041 3.0 0.01102736 29131.6204911 0.00933867062942
0.2337 0.0041 4.0 0.01129632 29081.9374226 0.0121758606549
0.2419 0.0041 5.0 0.01291008 29086.8938456 0.0133150783078
0.2501 0.0041 6.0 0.01264112 29035.5368678 0.0163469161815
0.2583 0.0041 5.0 0.01398592 29049.8596087 0.0123065105041
0.2665 0.0041 4.0 0.013448 29049.0066128 0.0102393173982
0.2747 0.0041 3.0 0.01398592 29007.442451 0.00739470368035
0.2829 0.0041 6.0 0.01533072 28986.1869369 0.0135019846494
0.2911 0.0041 4.0 0.01398592 28978.9058622 0.00986931402078
0.2993 0.0041 6.0 0.01559968 28947.0856405 0.0132871156392
0.3075 0.0041 4.0 0.01533072 28985.2672795 0.00900160869755
0.3157 0.0041 4.0 0.01721344 28975.5423445 0.00801974847642
0.3239 0.0041 6.0 0.01667552 29016.7478603 0.0124000412197
0.3321 0.0041 3.0 0.01586864 29033.7657192 0.0065114570296
0.3403 0.0041 1.0 0.01828928 28984.192612 0.00188643647069
0.3485 0.0041 3.0 0.01775136 29035.076697 0.00582058513058
0.3567 0.0041 3.0 0.01936512 28943.9416481 0.00535233623661
0.3649 0.0041 3.0 0.01855824 28858.8436045 0.00560151551595
0.3731 0.0041 3.0 0.01828928 28767.0390245 0.00570202980954
0.3813 0.0041 5.0 0.01990304 28737.1538417 0.00874192015618
0.3895 0.0041 0.0 0.01963408 28703.8269137 0.0
0.3977 0.0041 3.0 0.02097888 28661.2812224 0.00498934293471
0.4059 0.0041 2.0 0.02044096 28617.1213411 0.00341902882545
0.4141 0.0041 2.0 0.02259264 28577.5103823 0.00309769476849
0.4223 0.0041 3.0 0.02178576 28498.9650137 0.00483191684373
0.4305 0.0041 1.0 0.02097888 28382.7393019 0.00167943574726
0.4387 0.0041 4.0 0.02313056 28250.6024888 0.00612133474766
0.4469 0.0041 1.0 0.02178576 28020.8086594 0.00163812342407
0.4551 0.0041 3.0 0.02528224 27885.3321731 0.00425529705471
