# sbprofile_multiband.py arguments:
#  bin = 1
#  exposuremap = /home/jsanders/data2/chandra/spt/SPT-CLJ0000-5748/expmap_total_masked_1250_1500.fits.gz
#  inimage = /home/jsanders/data2/chandra/spt/SPT-CLJ0000-5748/total_img_1250_1500.fits.gz
#  mask = None
#  outprofile = /home/jsanders/chandra/spt/sb-ccen/SPT-CLJ0000-5748/total_fg_prof_1250_1500.dat
#  oversample = 1
#  rmax = 2080
#  xc = 666.0
#  yc = 688.0
# rcentre(amin) rhalfwidth(amin) counts area(amin2) exposure sb
0.0041 0.0041 0.0 6.724e-05 29736.4381937 0.0
0.0123 0.0041 7.0 0.00053792 29752.9952306 0.437370669645
0.0205 0.0041 10.0 0.00107584 29747.8211566 0.312461958605
0.0287 0.0041 8.0 0.0013448 29743.0610085 0.200007658072
0.0369 0.0041 4.0 0.00161376 29712.9823915 0.0834208862227
0.0451 0.0041 7.0 0.0026896 29678.0746388 0.0876949573469
0.0533 0.0041 4.0 0.00242064 29666.0707871 0.055701867659
0.0615 0.0041 5.0 0.00322752 29658.4821452 0.0522338624597
0.0697 0.0041 5.0 0.00376544 29674.3493055 0.0447479421518
0.0779 0.0041 7.0 0.00376544 29693.8629561 0.0626059497652
0.0861 0.0041 4.0 0.00457232 29704.2980634 0.0294512735631
0.0943 0.0041 6.0 0.00430336 29723.7617124 0.0469072314236
0.1025 0.0041 7.0 0.0053792 29727.3318235 0.0437748248825
0.1107 0.0041 9.0 0.00618608 29732.1189667 0.0489329180888
0.1189 0.0041 6.0 0.00591712 29737.1907863 0.0340989443627
0.1271 0.0041 4.0 0.00645504 29737.4730085 0.0208380460127
0.1353 0.0041 5.0 0.00645504 29737.9904159 0.0260471043179
0.1435 0.0041 2.0 0.00779984 29737.8655245 0.00862252591749
0.1517 0.0041 2.0 0.0080688 29739.6116258 0.00833461900783
0.1599 0.0041 4.0 0.0080688 29745.8205146 0.0166657586211
0.1681 0.0041 4.0 0.00833776 29743.9155652 0.0161291864321
0.1763 0.0041 6.0 0.00968256 29741.957206 0.0208349042587
0.1845 0.0041 7.0 0.00914464 29736.6816796 0.0257418006649
0.1927 0.0041 1.0 0.0094136 29659.6845014 0.00358160537022
0.2009 0.0041 2.0 0.01022048 29505.0753892 0.006632266583
0.2091 0.0041 3.0 0.01129632 29297.2825019 0.00906477292583
0.2173 0.0041 2.0 0.01183424 29187.7041257 0.00579014830903
0.2255 0.0041 1.0 0.01102736 29132.9140088 0.00311275199574
0.2337 0.0041 8.0 0.01129632 29082.5337917 0.0243512219511
0.2419 0.0041 4.0 0.01291008 29087.7817811 0.0106517374807
0.2501 0.0041 2.0 0.01264112 29036.3749705 0.00544881478198
0.2583 0.0041 2.0 0.01398592 29051.0723893 0.00492239870014
0.2665 0.0041 3.0 0.013448 29050.2318012 0.00767916416757
0.2747 0.0041 1.0 0.01398592 29007.9285721 0.00246485991944
0.2829 0.0041 2.0 0.01533072 28987.0870388 0.00450052179604
0.2911 0.0041 1.0 0.01398592 28979.5905667 0.00246727020931
0.2993 0.0041 5.0 0.01559968 28948.6229788 0.0110720083475
0.3075 0.0041 7.0 0.01533072 28986.360853 0.0157522209115
0.3157 0.0041 3.0 0.01721344 28976.9488039 0.00601451941533
0.3239 0.0041 0.0 0.01667552 29018.8775803 0.0
0.3321 0.0041 2.0 0.01586864 29035.6405617 0.00434069105487
0.3403 0.0041 2.0 0.01828928 28984.4930603 0.00377283383241
0.3485 0.0041 1.0 0.01775136 29036.3389421 0.00194011070088
0.3567 0.0041 2.0 0.01936512 28944.7473793 0.00356812482954
0.3649 0.0041 2.0 0.01855824 28859.0352189 0.0037343188825
0.3731 0.0041 2.0 0.01828928 28768.1558949 0.00380120562585
0.3813 0.0041 3.0 0.01990304 28738.3173638 0.00524493973437
0.3895 0.0041 3.0 0.01963408 28704.7987124 0.00532299664823
0.3977 0.0041 2.0 0.02097888 28662.5126974 0.00332608571287
0.4059 0.0041 1.0 0.02044096 28619.0560617 0.00170939884522
0.4141 0.0041 1.0 0.02259264 28578.8746438 0.00154877344737
0.4223 0.0041 3.0 0.02178576 28500.8948693 0.00483158966447
0.4305 0.0041 0.0 0.02097888 28384.3332512 0.0
0.4387 0.0041 0.0 0.02313056 28252.1287181 0.0
0.4469 0.0041 5.0 0.02178576 28022.938185 0.00818999469706
0.4551 0.0041 0.0 0.02528224 27887.5103652 0.0
0.4633 0.0041 0.0 0.02313056 27642.2618169 0.0
0.4715 0.0041 1.0 0.0242064 27515.3116995 0.00150139635614
0.4797 0.0041 1.0 0.02447536 27606.7210986 0.00147998080877
0.4879 0.0041 0.0 0.02474432 27631.3099398 0.0
0.4961 0.0041 2.0 0.02635808 27702.119002 0.00273907064349
0.5043 0.0041 1.0 0.02608912 27747.11875 0.00138141025853
0.5125 0.0041 1.0 0.02635808 27803.6153275 0.0013645358711
0.5207 0.0041 1.0 0.02676152 27759.6195144 0.00134609500891
0.5289 0.0041 3.0 0.02561844 27642.168587 0.00423639515725
