# sbprofile_multiband.py arguments:
#  bin = 1
#  exposuremap = /home/jsanders/data2/chandra/spt/SPT-CLJ0000-5748/expmap_total_masked_0500_0750.fits.gz
#  inimage = /home/jsanders/data2/chandra/spt/SPT-CLJ0000-5748/total_img_0500_0750.fits.gz
#  mask = None
#  outprofile = /home/jsanders/chandra/spt/sb-ccen/SPT-CLJ0000-5748/total_fg_prof_0500_0750.dat
#  oversample = 1
#  rmax = 2080
#  xc = 666.0
#  yc = 688.0
# rcentre(amin) rhalfwidth(amin) counts area(amin2) exposure sb
0.0041 0.0041 0.0 6.724e-05 29720.9988856 0.0
0.0123 0.0041 3.0 0.00053792 29752.842813 0.187445532944
0.0205 0.0041 5.0 0.00107584 29748.8623221 0.156225511453
0.0287 0.0041 7.0 0.0013448 29741.1667063 0.175017847503
0.0369 0.0041 1.0 0.00161376 29713.0379038 0.0208551825923
0.0451 0.0041 2.0 0.0026896 29678.5403158 0.0250553089577
0.0533 0.0041 4.0 0.00242064 29664.9771616 0.0557039211575
0.0615 0.0041 0.0 0.00322752 29659.5224147 0.0
0.0697 0.0041 1.0 0.00376544 29674.7493721 0.00894946777456
0.0779 0.0041 4.0 0.00376544 29694.4622795 0.0357741063938
0.0861 0.0041 3.0 0.00457232 29704.4525312 0.0220883403089
0.0943 0.0041 2.0 0.00430336 29723.6525463 0.0156358012333
0.1025 0.0041 6.0 0.0053792 29727.6330372 0.0375208982882
0.1107 0.0041 1.0 0.00618608 29732.0750343 0.00543699893251
0.1189 0.0041 1.0 0.00591712 29738.6095425 0.00568288626428
0.1271 0.0041 1.0 0.00645504 29737.5842645 0.00520949201306
0.1353 0.0041 0.0 0.00645504 29737.8054029 0.0
0.1435 0.0041 0.0 0.00779984 29740.0320376 0.0
0.1517 0.0041 0.0 0.0080688 29740.2821528 0.0
0.1599 0.0041 1.0 0.0080688 29744.7049205 0.00416659592026
0.1681 0.0041 4.0 0.00833776 29743.7690058 0.016129265907
0.1763 0.0041 3.0 0.00968256 29742.080745 0.0104174088586
0.1845 0.0041 1.0 0.00914464 29736.7647517 0.00367738982187
0.1927 0.0041 1.0 0.0094136 29657.1593931 0.0035819103199
0.2009 0.0041 0.0 0.01022048 29504.7953787 0.0
0.2091 0.0041 1.0 0.01129632 29298.3086592 0.0030214851457
0.2173 0.0041 1.0 0.01183424 29188.2162068 0.00289502336303
0.2255 0.0041 2.0 0.01102736 29132.6629103 0.00622555764997
0.2337 0.0041 3.0 0.01129632 29083.2357846 0.00913148781623
0.2419 0.0041 1.0 0.01291008 29088.9853826 0.00266282418717
0.2501 0.0041 1.0 0.01264112 29036.6932122 0.00272437753153
0.2583 0.0041 3.0 0.01398592 29051.3578359 0.00738352550202
0.2665 0.0041 0.0 0.013448 29050.0473358 0.0
0.2747 0.0041 0.0 0.01398592 29007.6744996 0.0
0.2829 0.0041 1.0 0.01533072 28987.0056707 0.00225026721463
0.2911 0.0041 0.0 0.01398592 28978.8924883 0.0
0.2993 0.0041 0.0 0.01559968 28948.3261191 0.0
0.3075 0.0041 1.0 0.01533072 28986.4470053 0.00225031058477
0.3157 0.0041 0.0 0.01721344 28975.3202529 0.0
0.3239 0.0041 0.0 0.01667552 29016.7515993 0.0
0.3321 0.0041 0.0 0.01586864 29034.1055821 0.0
0.3403 0.0041 0.0 0.01828928 28982.4226975 0.0
0.3485 0.0041 1.0 0.01775136 29033.3791306 0.00194030848571
0.3567 0.0041 2.0 0.01936512 28943.1814743 0.00356831787482
0.3649 0.0041 0.0 0.01855824 28857.3669615 0.0
0.3731 0.0041 3.0 0.01828928 28766.1493574 0.00570220615947
0.3813 0.0041 0.0 0.01990304 28736.9211209 0.0
0.3895 0.0041 0.0 0.01963408 28702.6475368 0.0
0.3977 0.0041 1.0 0.02097888 28660.147023 0.00166318012781
0.4059 0.0041 1.0 0.02044096 28617.0062367 0.0017095212888
0.4141 0.0041 1.0 0.02259264 28575.9443304 0.00154893226597
0.4223 0.0041 1.0 0.02178576 28498.2838058 0.00161067744777
0.4305 0.0041 2.0 0.02097888 28380.8322326 0.00335909719617
0.4387 0.0041 0.0 0.02313056 28248.0938184 0.0
0.4469 0.0041 1.0 0.02178576 28018.4626532 0.00163826058533
0.4551 0.0041 0.0 0.02528224 27882.1814622 0.0
0.4633 0.0041 1.0 0.02313056 27636.7644684 0.0015643238091
0.4715 0.0041 0.0 0.0242064 27509.1432781 0.0
0.4797 0.0041 0.0 0.02447536 27600.4032823 0.0
0.4879 0.0041 0.0 0.02474432 27624.8377531 0.0
0.4961 0.0041 0.0 0.02635808 27695.7684295 0.0
0.5043 0.0041 0.0 0.02608912 27740.0002007 0.0
0.5125 0.0041 0.0 0.02635808 27795.9035005 0.0
0.5207 0.0041 0.0 0.02676152 27751.5293202 0.0
0.5289 0.0041 0.0 0.02561844 27630.3322205 0.0
0.5371 0.0041 0.0 0.02844252 27564.8964994 0.0
0.5453 0.0041 1.0 0.0262236 27457.0861683 0.00138884327919
0.5535 0.0041 0.0 0.0279046 27462.6633645 0.0
0.5617 0.0041 0.0 0.02965284 27446.0475327 0.0
0.5699 0.0041 0.0 0.02750116 27483.5672091 0.0
0.5781 0.0041 2.0 0.02985456 27461.3710119 0.0024394791194
0.5863 0.0041 0.0 0.02877872 27513.2524564 0.0
0.5945 0.0041 1.0 0.0322752 27453.1362966 0.00112859752008
0.6027 0.0041 1.0 0.03119936 27494.3031132 0.00116576657335
0.6109 0.0041 0.0 0.03119936 27434.1839745 0.0
0.6191 0.0041 1.0 0.03200624 27370.792167 0.00114150541378
0.6273 0.0041 1.0 0.0322752 27350.4396308 0.00113283522901
0.6355 0.0041 0.0 0.03335104 27296.4091033 0.0
0.6437 0.0041 0.0 0.03200624 27375.5642962 0.0
0.6519 0.0041 0.0 0.03335104 27368.7855565 0.0
0.6601 0.0041 1.0 0.0349648 27356.8730567 0.00104544814512
0.6683 0.0041 0.0 0.03362 27339.4552449 0.0
0.6765 0.0041 0.0 0.03604064 27174.3956536 0.0
0.6847 0.0041 0.0 0.03388896 27107.4380313 0.0
0.6929 0.0041 0.0 0.03604064 26940.2002026 0.0
0.7011 0.0041 1.0 0.03684752 26935.2750733 0.00100755861712
0.7093 0.0041 1.0 0.03657856 26880.8015394 0.00101702395177
0.7175 0.0041 0.0 0.03711648 26878.5437787 0.0
0.7257 0.0041 2.0 0.03523376 26969.3351407 0.00210475119
0.7339 0.0041 2.0 0.040344 26970.2142924 0.0018380894542
0.7421 0.0041 0.0 0.03711648 27125.1803805 0.0
0.7503 0.0041 1.0 0.03873024 27197.1465026 0.00094935025444
0.7585 0.0041 0.0 0.0389992 27195.4094225 0.0
0.7667 0.0041 0.0 0.03926816 27296.9707928 0.0
0.7749 0.0041 0.0 0.04088192 27218.2826766 0.0
0.7831 0.0041 0.0 0.0389992 27232.4142622 0.0
0.7913 0.0041 0.0 0.040344 27212.617344 0.0
0.7995 0.0041 0.0 0.04249568 27205.3286228 0.0
0.8077 0.0041 0.0 0.04088192 27307.1803072 0.0
0.8159 0.0041 1.0 0.04323532 27318.2598344 0.000846658535162
0.8241 0.0041 0.0 0.04054572 27449.8526666 0.0
0.8323 0.0041 0.0 0.04397496 27443.3952522 0.0
0.8405 0.0041 0.0 0.0423612 27503.0103736 0.0
0.8487 0.0041 0.0 0.0410164 27575.5186289 0.0
0.8569 0.0041 0.0 0.0443784 27554.8076844 0.0
0.8651 0.0041 1.0 0.04249568 27693.4342227 0.000849725011137
0.8733 0.0041 1.0 0.04619388 27587.038582 0.000784712328696
0.8815 0.0041 0.0 0.0450508 27682.4805655 0.0
0.8897 0.0041 0.0 0.04464736 27674.5789462 0.0
0.8979 0.0041 0.0 0.04599216 27676.966362 0.0
0.9061 0.0041 1.0 0.04626112 27722.9775818 0.000779729531878
0.9143 0.0041 0.0 0.0484128 27670.5742988 0.0
0.9225 0.0041 0.0 0.047068 27723.3535024 0.0
0.9307 0.0041 1.0 0.04787488 27629.3478094 0.000755999778186
0.9389 0.0041 0.0 0.05002656 27676.5673868 0.0
0.9471 0.0041 0.0 0.0484128 27641.2955767 0.0
0.9553 0.0041 0.0 0.04814384 27670.8014496 0.0
0.9635 0.0041 1.0 0.04948864 27759.3668086 0.000727922134075
0.9717 0.0041 0.0 0.05056448 27814.7954208 0.0
0.9799 0.0041 0.0 0.05083344 27839.3429018 0.0
0.9881 0.0041 1.0 0.05056448 27911.569342 0.000708549505117
0.9963 0.0041 0.0 0.04948864 27951.4976059 0.0
1.0045 0.0041 0.0 0.05190928 28022.7660885 0.0
1.0127 0.0041 0.0 0.05540576 27991.8169489 0.0
1.0209 0.0041 0.0 0.05056448 28068.2200095 0.0
1.0291 0.0041 1.0 0.05432992 28033.6122949 0.000656571264851
1.0373 0.0041 1.0 0.05083344 28112.2908507 0.000699768296111
1.0455 0.0041 1.0 0.05486784 28096.6203778 0.000648676332853
1.0537 0.0041 0.0 0.05540576 28107.1610127 0.0
1.0619 0.0041 0.0 0.05298512 28193.0561266 0.0
1.0701 0.0041 1.0 0.0564816 28131.8858177 0.000629352791928
1.0783 0.0041 1.0 0.05432992 28200.5827227 0.000652683827983
1.0865 0.0041 0.0 0.05809536 28173.6936088 0.0
1.0947 0.0041 0.0 0.05675056 28214.348486 0.0
1.1029 0.0041 0.0 0.053792 28262.1754993 0.0
1.1111 0.0041 0.0 0.0591712 28220.3296838 0.0
1.1193 0.0041 0.0 0.05728848 28261.4606305 0.0
1.1275 0.0041 1.0 0.05863328 28255.3504789 0.000603608173077
1.1357 0.0041 0.0 0.05809536 28282.9605417 0.0
1.1439 0.0041 0.0 0.05728848 28321.9840261 0.0
1.1521 0.0041 1.0 0.06132288 28267.3980896 0.000576888154901
1.1603 0.0041 1.0 0.05863328 28334.5220782 0.000601921586507
1.1685 0.0041 1.0 0.06024704 28318.1127696 0.000586138135741
1.1767 0.0041 0.0 0.060516 28337.5807399 0.0
1.1849 0.0041 1.0 0.06132288 28337.0683196 0.000575469803151
1.1931 0.0041 1.0 0.06293664 28372.0320589 0.000560023181629
1.2013 0.0041 0.0 0.06105392 28390.9888616 0.0
1.2095 0.0041 0.0 0.06132288 28377.0827283 0.0
1.2177 0.0041 0.0 0.06401248 28366.3831906 0.0
1.2259 0.0041 0.0 0.06347456 28374.3335896 0.0
1.2341 0.0041 0.0 0.06374352 28408.1870723 0.0
1.2423 0.0041 0.0 0.0618608 28425.7817525 0.0
1.2505 0.0041 0.0 0.06562624 28391.536669 0.0
1.2587 0.0041 1.0 0.06367628 28419.982223 0.000552584265255
1.2669 0.0041 0.0 0.0669038 28432.3919591 0.0
1.2751 0.0041 0.0 0.06428144 28451.283349 0.0
1.2833 0.0041 0.0 0.06529004 28452.0298579 0.0
1.2915 0.0041 1.0 0.06838308 28434.7797619 0.000514282176812
1.2997 0.0041 0.0 0.06448316 28460.2361495 0.0
1.3079 0.0041 1.0 0.06724 28483.0555942 0.000522138500602
1.3161 0.0041 0.0 0.06750896 28459.7383119 0.0
1.3243 0.0041 0.0 0.07100544 28462.7817879 0.0
1.3325 0.0041 0.0 0.06885376 28487.8967004 0.0
1.3407 0.0041 0.0 0.06697104 28482.3681576 0.0
1.3489 0.0041 1.0 0.06972788 28510.2745468 0.000503027976308
1.3571 0.0041 0.0 0.06898824 28477.8649306 0.0
1.3653 0.0041 0.0 0.07201404 28501.3160102 0.0
1.3735 0.0041 0.0 0.06851756 28509.1379687 0.0
