# sbprofile_multiband.py arguments:
#  bin = 1
#  exposuremap = /home/jsanders/data2/chandra/spt/SPT-CLJ0000-5748/expmap_total_masked_5000_6000.fits.gz
#  inimage = /home/jsanders/data2/chandra/spt/SPT-CLJ0000-5748/total_img_5000_6000.fits.gz
#  mask = None
#  outprofile = /home/jsanders/chandra/spt/sb-ccen/SPT-CLJ0000-5748/total_fg_prof_5000_6000.dat
#  oversample = 1
#  rmax = 2080
#  xc = 666.0
#  yc = 688.0
# rcentre(amin) rhalfwidth(amin) counts area(amin2) exposure sb
0.0041 0.0041 0.0 6.724e-05 29734.9711188 0.0
0.0123 0.0041 1.0 0.00053792 29755.9703922 0.0624752769969
0.0205 0.0041 0.0 0.00107584 29746.4252679 0.0
0.0287 0.0041 1.0 0.0013448 29741.8436083 0.0250019806041
0.0369 0.0041 0.0 0.00161376 29713.3355038 0.0
0.0451 0.0041 1.0 0.0026896 29678.4639832 0.0125276866998
0.0533 0.0041 0.0 0.00242064 29663.2766299 0.0
0.0615 0.0041 1.0 0.00322752 29656.7010998 0.0104473998772
0.0697 0.0041 0.0 0.00376544 29672.5187343 0.0
0.0779 0.0041 0.0 0.00376544 29689.9726758 0.0
0.0861 0.0041 0.0 0.00457232 29700.6086715 0.0
0.0943 0.0041 0.0 0.00430336 29720.1761762 0.0
0.1025 0.0041 1.0 0.0053792 29724.6623846 0.00625410801479
0.1107 0.0041 2.0 0.00618608 29728.995041 0.0108751244366
0.1189 0.0041 0.0 0.00591712 29732.3679031 0.0
0.1271 0.0041 0.0 0.00645504 29732.9030086 0.0
0.1353 0.0041 0.0 0.00645504 29733.3802648 0.0
0.1435 0.0041 0.0 0.00779984 29733.3912362 0.0
0.1517 0.0041 0.0 0.0080688 29734.3347772 0.0
0.1599 0.0041 0.0 0.0080688 29738.9164369 0.0
0.1681 0.0041 0.0 0.00833776 29738.0501912 0.0
0.1763 0.0041 0.0 0.00968256 29736.9862006 0.0
0.1845 0.0041 1.0 0.00914464 29731.8268426 0.00367800056862
0.1927 0.0041 1.0 0.0094136 29653.4830294 0.00358235439608
0.2009 0.0041 1.0 0.01022048 29499.1563119 0.0033167986817
0.2091 0.0041 0.0 0.01129632 29294.2590955 0.0
0.2173 0.0041 0.0 0.01183424 29184.4777701 0.0
0.2255 0.0041 0.0 0.01102736 29129.4843092 0.0
0.2337 0.0041 0.0 0.01129632 29079.1756287 0.0
0.2419 0.0041 0.0 0.01291008 29083.9141011 0.0
0.2501 0.0041 0.0 0.01264112 29031.8000919 0.0
0.2583 0.0041 0.0 0.01398592 29047.2816273 0.0
0.2665 0.0041 1.0 0.013448 29045.7367857 0.00256011752262
0.2747 0.0041 0.0 0.01398592 29003.1537836 0.0
0.2829 0.0041 0.0 0.01533072 28981.27471 0.0
0.2911 0.0041 2.0 0.01398592 28973.1967782 0.00493562937017
0.2993 0.0041 0.0 0.01559968 28942.3966624 0.0
0.3075 0.0041 1.0 0.01533072 28980.67186 0.00225075901712
0.3157 0.0041 0.0 0.01721344 28969.5118096 0.0
0.3239 0.0041 0.0 0.01667552 29012.0049323 0.0
0.3321 0.0041 0.0 0.01586864 29028.1142214 0.0
0.3403 0.0041 2.0 0.01828928 28977.3689909 0.00377376138142
0.3485 0.0041 0.0 0.01775136 29028.3426768 0.0
0.3567 0.0041 2.0 0.01936512 28937.3169008 0.003569041047
0.3649 0.0041 2.0 0.01855824 28852.2822938 0.0037351929061
0.3731 0.0041 1.0 0.01828928 28762.2106604 0.00190099567319
0.3813 0.0041 0.0 0.01990304 28731.236808 0.0
0.3895 0.0041 1.0 0.01963408 28697.4030354 0.00177478948351
0.3977 0.0041 0.0 0.02097888 28654.9525453 0.0
0.4059 0.0041 0.0 0.02044096 28610.1033426 0.0
0.4141 0.0041 0.0 0.02259264 28569.1932749 0.0
0.4223 0.0041 0.0 0.02178576 28490.1926415 0.0
0.4305 0.0041 1.0 0.02097888 28372.6126644 0.00168003516464
0.4387 0.0041 1.0 0.02313056 28238.8727807 0.00153096934853
0.4469 0.0041 0.0 0.02178576 28008.3641957 0.0
0.4551 0.0041 0.0 0.02528224 27871.5191565 0.0
0.4633 0.0041 0.0 0.02313056 27624.2111738 0.0
0.4715 0.0041 1.0 0.0242064 27495.2607379 0.00150249125176
0.4797 0.0041 1.0 0.02447536 27586.0384826 0.0014810904235
0.4879 0.0041 1.0 0.02474432 27608.317432 0.00146380941741
0.4961 0.0041 0.0 0.02635808 27677.7825608 0.0
0.5043 0.0041 0.0 0.02608912 27719.9068229 0.0
0.5125 0.0041 1.0 0.02635808 27776.2336997 0.00136588102155
0.5207 0.0041 0.0 0.02676152 27730.8211876 0.0
0.5289 0.0041 0.0 0.02561844 27610.4920167 0.0
0.5371 0.0041 3.0 0.02844252 27545.4504906 0.00382915814497
0.5453 0.0041 0.0 0.0262236 27436.3485572 0.0
0.5535 0.0041 0.0 0.0279046 27441.4548596 0.0
0.5617 0.0041 2.0 0.02965284 27424.2978253 0.00245939442799
0.5699 0.0041 0.0 0.02750116 27459.9362581 0.0
0.5781 0.0041 0.0 0.02985456 27437.4339099 0.0
