# sbprofile_multiband.py arguments:
#  bin = 1
#  exposuremap = /home/jsanders/data2/chandra/spt/SPT-CLJ0000-5748/expmap_total_masked_3000_4000.fits.gz
#  inimage = /home/jsanders/data2/chandra/spt/SPT-CLJ0000-5748/total_img_3000_4000.fits.gz
#  mask = None
#  outprofile = /home/jsanders/chandra/spt/sb-ccen/SPT-CLJ0000-5748/total_fg_prof_3000_4000.dat
#  oversample = 1
#  rmax = 2080
#  xc = 666.0
#  yc = 688.0
# rcentre(amin) rhalfwidth(amin) counts area(amin2) exposure sb
0.0041 0.0041 1.0 6.724e-05 29739.0783848 0.500086107177
0.0123 0.0041 3.0 0.00053792 29750.3774268 0.187461066382
0.0205 0.0041 2.0 0.00107584 29748.9650465 0.0624899887998
0.0287 0.0041 4.0 0.0013448 29742.4680974 0.100005822595
0.0369 0.0041 2.0 0.00161376 29714.5971273 0.0417081765033
0.0451 0.0041 6.0 0.0026896 29674.6738458 0.0751757206388
0.0533 0.0041 4.0 0.00242064 29663.123714 0.0557074017179
0.0615 0.0041 7.0 0.00322752 29654.3355703 0.0731376328716
0.0697 0.0041 3.0 0.00376544 29671.2841332 0.026851538885
0.0779 0.0041 1.0 0.00376544 29690.6539194 0.00894467376652
0.0861 0.0041 4.0 0.00457232 29702.8549857 0.0294527044181
0.0943 0.0041 0.0 0.00430336 29720.7174417 0.0
0.1025 0.0041 4.0 0.0053792 29722.9772501 0.0250178503576
0.1107 0.0041 2.0 0.00618608 29728.0249742 0.010875479307
0.1189 0.0041 5.0 0.00591712 29732.9152711 0.0284198730846
0.1271 0.0041 3.0 0.00645504 29734.135054 0.0156302889691
0.1353 0.0041 2.0 0.00645504 29735.0766408 0.0104198626817
0.1435 0.0041 2.0 0.00779984 29736.545841 0.00862290857812
0.1517 0.0041 0.0 0.0080688 29735.8769896 0.0
0.1599 0.0041 1.0 0.0080688 29741.3381932 0.00416706758
0.1681 0.0041 4.0 0.00833776 29739.8073553 0.0161314144924
0.1763 0.0041 4.0 0.00968256 29737.9798669 0.0138917938974
0.1845 0.0041 2.0 0.00914464 29732.598052 0.00735581033599
0.1927 0.0041 2.0 0.0094136 29655.9497191 0.00716411285394
0.2009 0.0041 1.0 0.01022048 29501.5011609 0.0033165350547
0.2091 0.0041 1.0 0.01129632 29294.5148895 0.00302187644144
0.2173 0.0041 0.0 0.01183424 29184.3981442 0.0
