# sbprofile_multiband.py arguments:
#  bin = 1
#  exposuremap = /home/jsanders/data2/chandra/spt/SPT-CLJ0000-5748/expmap_total_masked_4000_5000.fits.gz
#  inimage = /home/jsanders/data2/chandra/spt/SPT-CLJ0000-5748/total_img_4000_5000.fits.gz
#  mask = None
#  outprofile = /home/jsanders/chandra/spt/sb-ccen/SPT-CLJ0000-5748/total_fg_prof_4000_5000.dat
#  oversample = 1
#  rmax = 2080
#  xc = 666.0
#  yc = 688.0
# rcentre(amin) rhalfwidth(amin) counts area(amin2) exposure sb
0.0041 0.0041 0.0 6.724e-05 29737.2623201 0.0
0.0123 0.0041 3.0 0.00053792 29754.2227359 0.187436839712
0.0205 0.0041 1.0 0.00107584 29747.155896 0.0312468946454
0.0287 0.0041 1.0 0.0013448 29742.9157921 0.0250010793234
0.0369 0.0041 1.0 0.00161376 29712.7639418 0.0208553748843
0.0451 0.0041 0.0 0.0026896 29679.5969065 0.0
0.0533 0.0041 2.0 0.00242064 29667.5361664 0.0278495581783
0.0615 0.0041 5.0 0.00322752 29656.7003452 0.052237000715
0.0697 0.0041 5.0 0.00376544 29673.0550319 0.0447498939591
0.0779 0.0041 1.0 0.00376544 29693.246003 0.00894389293769
0.0861 0.0041 0.0 0.00457232 29703.6740458 0.0
0.0943 0.0041 1.0 0.00430336 29721.7152723 0.0078184101907
0.1025 0.0041 2.0 0.0053792 29725.6727027 0.0125077908995
0.1107 0.0041 2.0 0.00618608 29731.8546513 0.0108740784669
0.1189 0.0041 0.0 0.00591712 29737.0053441 0.0
0.1271 0.0041 0.0 0.00645504 29735.8489522 0.0
0.1353 0.0041 5.0 0.00645504 29736.3200748 0.0260485674293
0.1435 0.0041 1.0 0.00779984 29734.7280051 0.00431171787029
0.1517 0.0041 1.0 0.0080688 29737.0738711 0.0041676651411
0.1599 0.0041 2.0 0.0080688 29742.9157921 0.00833369310779
0.1681 0.0041 2.0 0.00833776 29742.733422 0.00806491374825
0.1763 0.0041 2.0 0.00968256 29740.5601788 0.00694529431782
0.1845 0.0041 0.0 0.00914464 29734.103027 0.0
0.1927 0.0041 0.0 0.0094136 29655.3677411 0.0
0.2009 0.0041 1.0 0.01022048 29502.9407864 0.00331637322105
0.2091 0.0041 1.0 0.01129632 29297.7721813 0.00302154047277
0.2173 0.0041 1.0 0.01183424 29186.9482235 0.00289514913298
0.2255 0.0041 0.0 0.01102736 29131.5134869 0.0
0.2337 0.0041 0.0 0.01129632 29081.459577 0.0
0.2419 0.0041 3.0 0.01291008 29086.5241456 0.00798914852829
0.2501 0.0041 0.0 0.01264112 29034.7883619 0.0
0.2583 0.0041 1.0 0.01398592 29049.1695546 0.00246136056829
0.2665 0.0041 1.0 0.013448 29048.6694398 0.00255985906193
0.2747 0.0041 1.0 0.01398592 29006.551074 0.00246497697368
0.2829 0.0041 0.0 0.01533072 28983.9619822 0.0
0.2911 0.0041 0.0 0.01398592 28977.0877876 0.0
0.2993 0.0041 0.0 0.01559968 28946.7509873 0.0
0.3075 0.0041 0.0 0.01533072 28984.6562682 0.0
0.3157 0.0041 2.0 0.01721344 28974.3969524 0.00401003275327
0.3239 0.0041 0.0 0.01667552 29015.3504295 0.0
0.3321 0.0041 1.0 0.01586864 29032.9738686 0.00217054487475
0.3403 0.0041 2.0 0.01828928 28982.3575397 0.00377311182789
