# sbprofile_multiband.py arguments:
#  bin = 1
#  exposuremap = /home/jsanders/data2/chandra/spt/SPT-CLJ0000-5748/expmap_total_masked_2000_3000.fits.gz
#  inimage = /home/jsanders/data2/chandra/spt/SPT-CLJ0000-5748/total_img_2000_3000.fits.gz
#  mask = None
#  outprofile = /home/jsanders/chandra/spt/sb-ccen/SPT-CLJ0000-5748/total_fg_prof_2000_3000.dat
#  oversample = 1
#  rmax = 2080
#  xc = 666.0
#  yc = 688.0
# rcentre(amin) rhalfwidth(amin) counts area(amin2) exposure sb
0.0041 0.0041 0.0 6.724e-05 29730.0567776 0.0
0.0123 0.0041 4.0 0.00053792 29750.9737969 0.249943078201
0.0205 0.0041 6.0 0.00107584 29749.2307119 0.187468292263
0.0287 0.0041 5.0 0.0013448 29746.790393 0.124989114321
0.0369 0.0041 5.0 0.00161376 29718.4362113 0.104256971405
0.0451 0.0041 7.0 0.0026896 29681.9476332 0.0876835146317
0.0533 0.0041 6.0 0.00242064 29671.9539462 0.0835362351909
0.0615 0.0041 5.0 0.00322752 29662.6574931 0.0522265099644
0.0697 0.0041 6.0 0.00376544 29677.7642293 0.0536913517821
0.0779 0.0041 5.0 0.00376544 29695.1950787 0.0447165294788
0.0861 0.0041 6.0 0.00457232 29707.9093454 0.0441715402165
0.0943 0.0041 9.0 0.00430336 29727.0063789 0.0703531673347
0.1025 0.0041 2.0 0.0053792 29730.7540115 0.0125056531822
0.1107 0.0041 5.0 0.00618608 29736.4228269 0.0271810199169
0.1189 0.0041 5.0 0.00591712 29739.8814382 0.0284132161117
0.1271 0.0041 7.0 0.00645504 29738.7722023 0.0364649874117
0.1353 0.0041 7.0 0.00645504 29739.9342589 0.0364635625807
0.1435 0.0041 3.0 0.00779984 29740.8759255 0.0129324797053
0.1517 0.0041 5.0 0.0080688 29743.5366345 0.0208337978926
0.1599 0.0041 3.0 0.0080688 29748.8820949 0.0124980326093
0.1681 0.0041 6.0 0.00833776 29749.3993976 0.0241893199066
0.1763 0.0041 2.0 0.00968256 29747.1002748 0.00694376734909
0.1845 0.0041 1.0 0.00914464 29740.720356 0.00367690071807
0.1927 0.0041 1.0 0.0094136 29659.9349605 0.00358157512587
0.2009 0.0041 1.0 0.01022048 29506.3914571 0.00331598538265
